latitude,longitude,tas_anom,pays
-88.5,26.5,2.064154,ATA
-88.5,27.5,2.0704782,ATA
-88.5,28.5,2.072647,ATA
-88.5,29.5,2.0676749,ATA
-88.5,30.5,2.0672867,ATA
-88.5,31.5,2.073088,ATA
-88.5,32.5,2.0726225,ATA
-88.5,33.5,2.0699804,ATA
-88.5,34.5,2.0705593,ATA
-88.5,35.5,2.0720515,ATA
-88.5,36.5,2.0729866,ATA
-88.5,37.5,2.0751417,ATA
-88.5,38.5,2.0767822,ATA
-88.5,39.5,2.0768256,ATA
-88.5,40.5,2.0769985,ATA
-88.5,41.5,2.0781784,ATA
-88.5,42.5,2.0768313,ATA
-88.5,43.5,2.0798178,ATA
-88.5,44.5,2.0800211,ATA
-88.5,45.5,2.0813293,ATA
-88.5,46.5,2.0867088,ATA
-88.5,47.5,2.0871549,ATA
-88.5,48.5,2.0855021,ATA
-88.5,49.5,2.0844762,ATA
-88.5,50.5,2.0878413,ATA
-88.5,51.5,2.0932376,ATA
-88.5,52.5,2.0874236,ATA
-88.5,53.5,2.0929098,ATA
-88.5,54.5,2.0953236,ATA
-88.5,55.5,2.0967035,ATA
-88.5,56.5,2.0966802,ATA
-88.5,57.5,2.0998597,ATA
-88.5,58.5,2.0981388,ATA
-88.5,59.5,2.0976446,ATA
-88.5,60.5,2.0975912,ATA
-88.5,61.5,2.0995128,ATA
-88.5,62.5,2.1007147,ATA
-88.5,63.5,2.0995255,ATA
-88.5,64.5,2.1028972,ATA
-88.5,65.5,2.1057408,ATA
-88.5,66.5,2.107087,ATA
-88.5,67.5,2.1092396,ATA
-88.5,68.5,2.1092792,ATA
-88.5,69.5,2.1126597,ATA
-88.5,70.5,2.1147919,ATA
-88.5,71.5,2.115038,ATA
-88.5,72.5,2.1198757,ATA
-88.5,73.5,2.1175551,ATA
-88.5,74.5,2.1200962,ATA
-88.5,75.5,2.1231282,ATA
-88.5,76.5,2.122594,ATA
-88.5,77.5,2.1254358,ATA
-88.5,78.5,2.1308427,ATA
-88.5,79.5,2.130135,ATA
-88.5,80.5,2.1301446,ATA
-88.5,81.5,2.1332455,ATA
-88.5,82.5,2.1394873,ATA
-88.5,83.5,2.1434197,ATA
-88.5,84.5,2.1394675,ATA
-88.5,85.5,2.1376944,ATA
-88.5,86.5,2.1389146,ATA
-88.5,87.5,2.1400726,ATA
-88.5,88.5,2.1432886,ATA
-88.5,89.5,2.144703,ATA
-88.5,90.5,2.1460855,ATA
-88.5,91.5,2.1472652,ATA
-88.5,92.5,2.1453402,ATA
-88.5,93.5,2.1459057,ATA
-88.5,94.5,2.1462793,ATA
-88.5,95.5,2.146651,ATA
-88.5,96.5,2.1477942,ATA
-88.5,97.5,2.1476305,ATA
-88.5,98.5,2.1472268,ATA
-88.5,99.5,2.1441777,ATA
-88.5,100.5,2.1435277,ATA
-88.5,101.5,2.1462657,ATA
-88.5,102.5,2.1489725,ATA
-88.5,103.5,2.1438494,ATA
-88.5,104.5,2.14385,ATA
-88.5,105.5,2.1433115,ATA
-88.5,106.5,2.1445236,ATA
-88.5,107.5,2.1466289,ATA
-88.5,108.5,2.145811,ATA
-88.5,109.5,2.1427822,ATA
-88.5,110.5,2.1423314,ATA
-88.5,111.5,2.142784,ATA
-88.5,112.5,2.1421382,ATA
-88.5,113.5,2.1436558,ATA
-88.5,114.5,2.1432545,ATA
-88.5,115.5,2.1444125,ATA
-88.5,116.5,2.1469238,ATA
-88.5,117.5,2.144752,ATA
-88.5,118.5,2.1479201,ATA
-88.5,119.5,2.1435547,ATA
-88.5,120.5,2.1422617,ATA
-88.5,121.5,2.1468737,ATA
-88.5,122.5,2.143969,ATA
-88.5,123.5,2.1397853,ATA
-88.5,124.5,2.1436234,ATA
-88.5,125.5,2.144409,ATA
-88.5,126.5,2.1441164,ATA
-88.5,127.5,2.1431782,ATA
-88.5,128.5,2.1392953,ATA
-88.5,129.5,2.135836,ATA
-88.5,130.5,2.1346536,ATA
-88.5,131.5,2.1349578,ATA
-88.5,132.5,2.134432,ATA
-88.5,133.5,2.1341054,ATA
-88.5,134.5,2.1312845,ATA
-88.5,135.5,2.1313126,ATA
-88.5,136.5,2.1305237,ATA
-88.5,137.5,2.1211493,ATA
-88.5,138.5,2.122663,ATA
-88.5,139.5,2.1192253,ATA
-88.5,140.5,2.116034,ATA
-88.5,141.5,2.1113591,ATA
-88.5,142.5,2.1114848,ATA
-88.5,143.5,2.1061697,ATA
-88.5,144.5,2.102923,ATA
-88.5,145.5,2.1010494,ATA
-88.5,146.5,2.0984085,ATA
-88.5,147.5,2.0945714,ATA
-88.5,148.5,2.0930688,ATA
-88.5,149.5,2.085227,ATA
-88.5,150.5,2.0822167,ATA
-88.5,151.5,2.0804853,ATA
-88.5,152.5,2.078183,ATA
-88.5,153.5,2.077254,ATA
-88.5,154.5,2.076768,ATA
-88.5,155.5,2.073025,ATA
-88.5,156.5,2.0689135,ATA
-88.5,157.5,2.069082,ATA
-88.5,158.5,2.068167,ATA
-88.5,159.5,2.0660245,ATA
-88.5,160.5,2.0642192,ATA
-88.5,161.5,2.0618856,ATA
-88.5,162.5,2.0642757,ATA
-88.5,163.5,2.0677643,ATA
-88.5,164.5,2.0662518,ATA
-88.5,165.5,2.06309,ATA
-88.5,166.5,2.0626779,ATA
-88.5,167.5,2.0656395,ATA
-88.5,168.5,2.0634174,ATA
-88.5,169.5,2.059933,ATA
-88.5,170.5,2.058995,ATA
-88.5,171.5,2.0583425,ATA
-88.5,172.5,2.0578244,ATA
-88.5,173.5,2.056318,ATA
-88.5,174.5,2.0526426,ATA
-88.5,175.5,2.0547872,ATA
-88.5,176.5,2.0535932,ATA
-88.5,177.5,2.0488446,ATA
-88.5,178.5,2.04823,ATA
-88.5,179.5,2.0466197,ATA
